date,open,high,low,close,volume,source
2025-09-07,15754.0,15754.0,15753.5,15753.75,20.0,sharesansar
2025-09-03,16400.0,16400.0,16075.0,16075.0,50.0,sharesansar
2025-08-28,16084.0,16084.0,16082.0,16082.0,32.0,sharesansar
2025-08-27,16400.0,16410.0,16400.0,16410.0,20.0,sharesansar
2025-08-26,16500.0,16500.0,16170.1,16170.1,20.0,sharesansar
2025-08-18,16711.0,16711.0,16500.0,16500.0,20.0,sharesansar
2025-08-12,17052.0,17052.0,16711.0,16711.0,20.0,sharesansar
2025-08-11,17400.0,17400.0,17100.0,17400.0,180.0,sharesansar
2025-08-06,17200.0,17200.0,17200.0,17200.0,10.0,sharesansar
2025-08-05,17275.0,17275.0,16929.5,16929.5,20.0,sharesansar
2025-08-04,16999.3,17099.0,16999.3,17049.15,20.0,sharesansar
2025-08-03,16666.0,16666.0,16666.0,16666.0,25.0,sharesansar
2025-07-31,16700.0,17000.0,16700.0,17000.0,20.0,sharesansar
2025-07-29,17201.0,17300.0,16960.0,16980.5,40.0,sharesansar
2025-07-28,17300.0,17300.0,17000.0,17300.0,30.0,sharesansar
2025-07-24,17151.0,17493.0,17150.0,17493.0,40.0,sharesansar
2025-07-23,17200.0,17500.0,17200.0,17500.0,25.0,sharesansar
2025-07-22,17500.0,17500.0,17150.0,17400.6,145.0,sharesansar
2025-07-20,17840.1,17840.1,17840.1,17840.1,10.0,sharesansar
2025-07-17,17150.0,18204.0,17100.0,18204.0,120.0,sharesansar
