date,open,high,low,close,volume,source
2025-09-08,341.0,342.0,338.5,339.78,51679.0,sharesansar
2025-09-07,338.0,344.7,338.0,341.54,33752.0,sharesansar
2025-09-04,341.3,345.0,341.3,344.18,46045.0,sharesansar
2025-09-03,346.5,346.8,344.0,344.79,22544.0,sharesansar
2025-09-02,357.0,357.0,345.0,345.15,45243.0,sharesansar
2025-09-01,353.3,353.3,341.0,350.02,62119.0,sharesansar
2025-08-31,352.0,353.0,345.0,346.46,31039.0,sharesansar
2025-08-28,352.0,355.0,350.0,351.32,63594.0,sharesansar
2025-08-27,351.4,352.9,345.2,351.44,75720.0,sharesansar
2025-08-26,349.9,349.9,344.0,344.53,34295.0,sharesansar
2025-08-25,343.0,345.0,337.0,344.34,76387.0,sharesansar
2025-08-24,348.2,349.5,343.0,343.56,94633.0,sharesansar
2025-08-21,350.1,353.9,348.0,348.38,47481.0,sharesansar
2025-08-20,353.0,356.0,350.0,351.12,58516.0,sharesansar
2025-08-19,348.5,355.1,348.1,350.65,83058.0,sharesansar
2025-08-18,350.0,351.0,344.5,348.23,103749.0,sharesansar
2025-08-17,358.4,358.4,340.0,348.64,256794.0,sharesansar
2025-08-14,371.8,371.9,363.1,365.66,88358.0,sharesansar
2025-08-13,380.0,380.0,370.0,370.48,85556.0,sharesansar
2025-08-12,385.0,385.0,376.1,376.92,59057.0,sharesansar
