date,open,high,low,close,volume,source
2025-09-08,48000.0,48003.1,48000.0,48003.1,23.0,sharesansar
2025-09-07,48499.8,48499.8,48000.0,48000.0,60.0,sharesansar
2025-09-04,47801.0,47801.0,47801.0,47801.0,5.0,sharesansar
2025-09-03,47805.0,47805.0,47801.0,47801.0,50.0,sharesansar
2025-09-02,47600.0,48000.0,47500.0,47700.0,80.0,sharesansar
2025-09-01,48000.0,48000.0,48000.0,48000.0,21.0,sharesansar
2025-08-31,47111.0,48000.0,47101.0,48000.0,40.0,sharesansar
2025-08-28,47980.8,47980.8,47980.8,47980.8,10.0,sharesansar
2025-08-27,47999.0,48960.0,47999.0,48960.0,50.0,sharesansar
2025-08-26,47500.0,47500.0,47500.0,47500.0,20.0,sharesansar
2025-08-25,47200.0,47500.0,47200.0,47500.0,30.0,sharesansar
2025-08-21,47200.0,47200.0,47200.0,47200.0,10.0,sharesansar
2025-08-20,47500.0,47500.0,47500.0,47500.0,1.0,sharesansar
2025-08-19,47500.0,47500.0,47500.0,47500.0,10.0,sharesansar
2025-08-17,48800.0,48840.0,47864.0,47864.0,30.0,sharesansar
2025-08-14,47100.0,47900.0,47100.0,47900.0,90.0,sharesansar
2025-08-13,47000.0,47000.0,46101.0,47000.0,50.0,sharesansar
2025-08-12,46970.0,47900.0,46970.0,47000.0,50.0,sharesansar
2025-08-11,46600.0,46600.0,46050.0,46050.0,80.0,sharesansar
2025-08-07,47500.0,47600.0,46650.0,46705.0,111.0,sharesansar
